Plot_ID,Province,District,Area_Rai,Rainfall_mm,Avg_Temp_C,Soil_pH,Nitrogen_kg,Phosphorus_kg,Potassium_kg,Irrigation_Days,Fertilizer_Type,Pesticide_Used,Yield_kg_per_rai,Planting_Date,Harvest_Date
1,Khon_Kaen,Mueang,2.5,2150,28.5,6.8,60,30,20,120,NPK_16-16-8,Yes,650,2023-05-15,2023-10-20
2,Khon_Kaen,Mueang,3.0,2050,28.2,6.5,55,28,18,110,NPK_16-16-8,Yes,620,2023-05-18,2023-10-22
3,Khon_Kaen,Ban_Haet,2.0,1950,28.8,6.9,70,32,22,130,Organic,No,580,2023-05-20,2023-10-25
4,Khon_Kaen,Ban_Haet,2.8,2200,28.0,7.0,75,35,25,140,NPK_16-16-8,Yes,680,2023-05-12,2023-10-18
5,Khon_Kaen,Ban_Phai,1.5,1850,29.0,6.4,50,25,15,100,NPK_16-16-8,Yes,540,2023-05-25,2023-10-28
6,Nakhon_Ratchasima,Mueang,3.5,2300,27.8,7.1,80,40,28,150,NPK_16-16-8,Yes,700,2023-05-10,2023-10-15
7,Nakhon_Ratchasima,Mueang,2.5,2250,28.1,6.7,65,32,20,135,NPK_16-16-8,Yes,660,2023-05-17,2023-10-19
8,Nakhon_Ratchasima,Pak_Thong_Chai,3.0,2100,28.4,6.9,72,35,23,125,NPK_16-16-8,Yes,640,2023-05-14,2023-10-21
9,Nakhon_Ratchasima,Pak_Thong_Chai,2.2,1950,28.9,6.6,58,28,18,105,Organic,No,590,2023-05-22,2023-10-26
10,Nakhon_Ratchasima,Sikhiu,2.8,2400,27.5,7.0,85,42,30,155,NPK_16-16-8,Yes,720,2023-05-08,2023-10-14
11,Mahasarakham,Mueang,2.0,2050,28.6,6.8,62,30,20,120,NPK_16-16-8,Yes,630,2023-05-19,2023-10-23
12,Mahasarakham,Kosum_Phisai,2.5,1900,28.7,6.5,55,27,17,110,NPK_16-16-8,Yes,600,2023-05-21,2023-10-24
13,Yasothon,Mueang,1.8,1750,29.2,6.3,48,23,14,95,NPK_16-16-8,Yes,520,2023-05-28,2023-11-01
14,Yasothon,Kham_Muang,2.2,1900,29.0,6.6,60,29,19,115,NPK_16-16-8,Yes,610,2023-05-23,2023-10-27
15,Yasothon,Kham_Muang,1.5,1800,28.9,6.4,52,25,16,100,Organic,No,550,2023-05-26,2023-10-30
16,Chaiyaphum,Mueang,3.0,2200,28.3,6.7,68,33,21,128,NPK_16-16-8,Yes,650,2023-05-16,2023-10-20
17,Chaiyaphum,Bamnet_Narong,2.5,2000,28.8,6.9,63,31,20,118,NPK_16-16-8,Yes,620,2023-05-20,2023-10-24
18,Chaiyaphum,Phu_Khiao,2.0,1850,29.1,6.5,57,28,18,105,Organic,No,570,2023-05-24,2023-10-28
19,Roi_Et,Mueang,2.8,2150,28.4,6.8,70,34,22,130,NPK_16-16-8,Yes,660,2023-05-13,2023-10-19
20,Roi_Et,Suwannaphum,2.2,2050,28.6,6.6,62,30,19,120,NPK_16-16-8,Yes,630,2023-05-18,2023-10-22
21,Amnat_Charoen,Mueang,2.5,1950,28.9,6.4,58,28,18,110,NPK_16-16-8,Yes,600,2023-05-21,2023-10-25
22,Amnat_Charoen,Phichit,2.0,1850,29.0,6.5,54,26,16,100,Organic,No,560,2023-05-25,2023-10-29
23,Kalasin,Mueang,3.0,2250,28.1,6.9,75,36,24,135,NPK_16-16-8,Yes,680,2023-05-11,2023-10-17
24,Kalasin,Somchai,2.5,2100,28.5,6.7,67,32,21,125,NPK_16-16-8,Yes,640,2023-05-15,2023-10-20
25,Kalasin,Somchai,1.8,1900,29.0,6.4,55,27,17,110,Organic,No,580,2023-05-22,2023-10-26
26,Udon_Thani,Mueang,3.5,2350,27.9,7.0,82,40,27,145,NPK_16-16-8,Yes,710,2023-05-09,2023-10-16
27,Udon_Thani,Ban_Phon,2.8,2200,28.3,6.8,72,35,23,130,NPK_16-16-8,Yes,650,2023-05-14,2023-10-20
28,Udon_Thani,Ban_Phon,2.0,2000,28.7,6.6,60,29,19,115,Organic,No,600,2023-05-20,2023-10-24
29,Nong_Khai,Mueang,2.5,2150,28.4,6.9,68,33,21,128,NPK_16-16-8,Yes,660,2023-05-16,2023-10-21
30,Nong_Khai,Somphet,2.0,2000,28.8,6.7,62,30,20,120,NPK_16-16-8,Yes,620,2023-05-19,2023-10-23
